Year,RSI
1988,
1989,1.8
1990,-1
1991,-4.8
1992,-2.4
1993,6.5
1994,3.1
1995,0.3
1996,6.4
1997,8.8
1998,4.8
1999,6.6
2000,5.3
2001,18.3
2002,6.3
2003,1.5
2004,5
2005,-3.2
2006,2.7
2007,3.3
2008,-3.9
2009,-6.4
2010,-6.2
2011,-6.1
2012,-1.9
2013,-3
2014,5.9
2015,7.5
2016,1.8
2017,-0.7
2018,4.5
2019,-2.9
2020,-0.6
2021,7.4
2022,-10.5
